week,pr_auc,baseline_pr_auc,pr_auc_drop_pct,psi_amount_gbp,psi_velocity_1h,psi_ip_risk_score,psi_account_age_days,psi_amount_vs_avg_30d,psi_max,retrain_flag
2026-12-07/2026-12-13,0.1986556624920241,0.2055808904337796,0.03368614625193592,0.0011623936223536027,0.0003352816189561301,0.0005069433057653533,0.0010655499181388165,0.0011608996962139684,0.0011623936223536027,0
2026-12-14/2026-12-20,0.21017932797288574,0.2055808904337796,-0.022368020341790234,0.00032130671782868255,9.181527639134117e-05,0.00013895506540985815,0.0002898582218348955,0.000314484301231862,0.00032130671782868255,0
2026-12-21/2026-12-27,0.18923423065628542,0.2055808904337796,0.07951449058812046,0.0020255533725381577,0.00017544962076280395,0.0014778647899066609,0.0015454178286329317,0.0011896272520953931,0.0020255533725381577,0
2026-12-28/2027-01-03,0.1991009650169171,0.2055808904337796,0.03152007661407511,0.000506842699995621,0.0012985040106787736,0.0018631339307971346,0.0021169158783760312,0.0010083207869307027,0.0021169158783760312,0
2027-01-04/2027-01-10,0.19419482941223443,0.2055808904337796,0.05538482199157898,0.001302648500621379,0.00012127844387294212,0.001612933775803948,0.0011187148697332373,0.0009131610009661627,0.001612933775803948,0
2027-01-11/2027-01-17,0.1809444639321684,0.2055808904337796,0.11983811554482462,0.0012107195621728056,0.0006166545712405595,0.0010979227127557176,0.001907264228820334,0.0019353851460370771,0.0019353851460370771,1
2027-01-18/2027-01-24,0.21803152695311265,0.2055808904337796,-0.060563199687782045,0.0005775534947240076,0.001058794707358907,0.0019800058671488965,0.0005875622901523971,0.0012829527315446163,0.0019800058671488965,0
2027-01-25/2027-01-31,0.20416503321856644,0.2055808904337796,0.006887105179015848,0.0018714683342341983,0.0001512900296090763,0.002304039611873068,0.000853353794596832,0.0010672931787837911,0.002304039611873068,0
2027-02-01/2027-02-07,0.18325632755789317,0.2055808904337796,0.10859259743831824,0.0024875336733866885,0.00014646095219250372,0.0018762210837077692,0.000616668273896889,0.0022987520361007173,0.0024875336733866885,1
2027-02-08/2027-02-14,0.23174922033543957,0.2055808904337796,-0.12728970015862992,0.001994689566774919,0.0007431294433317671,0.0006265351499918369,0.0015941000080378696,0.001529252075306448,0.001994689566774919,0
2027-02-15/2027-02-21,0.19663695498956552,0.2055808904337796,0.04350567518869201,0.0010813687269472156,0.0007175100625411463,0.002354115583070416,0.0012209920956821453,0.0013791550316878136,0.002354115583070416,0
2027-02-22/2027-02-28,0.19758023848972783,0.2055808904337796,0.038917293952615194,0.002141094365568045,6.205585104950766e-05,0.0007936611688243463,0.00047996305273649564,0.0017381782382799435,0.002141094365568045,0
2027-03-01/2027-03-07,0.20629053267069775,0.2055808904337796,-0.0034518881371744994,0.0019622756038163037,0.00028818083072336225,0.0018553521412182409,0.0004631231666542806,0.00045682379781205923,0.0019622756038163037,0
2027-03-08/2027-03-14,0.21450952487278485,0.2055808904337796,-0.04343124703938022,0.0011516019075133678,0.0003825424119989787,0.0006120920173999561,0.000549733584226429,0.0015140309650805259,0.0015140309650805259,0
2027-03-15/2027-03-21,0.19696791931989954,0.2055808904337796,0.04189577686771633,0.0007625554756961717,0.0002994930490461432,0.0026190446337405813,0.00136301021750035,0.001051338952100441,0.0026190446337405813,0
2027-03-22/2027-03-28,0.20303861654004352,0.2055808904337796,0.012366294787282272,0.0010308736221678184,0.00033819282963369856,0.0015166323386365831,0.002260484599908614,0.0025617921815360026,0.0025617921815360026,0
2027-03-29/2027-04-04,0.18568486125293485,0.2055808904337796,0.09677956515736343,0.0007713980376592693,0.0004915819756971646,0.002125440192001785,0.002074967998497042,0.001296216797581387,0.002125440192001785,0
2027-04-05/2027-04-11,0.1993553776434305,0.2055808904337796,0.030282546092748004,0.0020764109024725814,5.394860029584508e-05,0.002493599158116567,0.0014757287557179558,0.001507749551728709,0.002493599158116567,0
2027-04-12/2027-04-18,0.2206381251857752,0.2055808904337796,-0.07324238512745287,0.004460185100306867,0.0004302204407038387,0.00172358575388469,0.003607606002781453,0.005938729059559587,0.005938729059559587,0
